code,name
BSE/BOM501471,MACK TRADING CO.LTD. EOD Prices
BSE/BOM501473,MALABAR TRADING CO.LTD EOD Prices
BSE/BOM501477,MULLER & PHIPPS (INDIA) LTD. EOD Prices
BSE/BOM501479,New Sagar Trading Co.ltd. EOD Prices
BSE/BOM501482,Parekh Distributors Ltd. EOD Prices
BSE/BOM501622,Amalgamated Electricity Co.ltd. EOD Prices
BSE/BOM501630,Anand Projects Ltd EOD Prices
BSE/BOM501700,INDIANIVESH LTD. EOD Prices
BSE/BOM501756,Thana Electric Supply Co.ltd. EOD Prices
BSE/BOM501827,Central Provinces Railways Co.ltd. EOD Prices
BSE/BOM501831,COASTAL CORPORATION LTD. EOD Prices
BSE/BOM501833,CHOWGULE STEAMSHIPS LTD. EOD Prices
BSE/BOM501848,GLOBAL OFFSHORE SERVICES LTD.-$ EOD Prices
BSE/BOM501945,DHENU BUILDCON INFRA LTD. EOD Prices
BSE/BOM502015,ASI Industries Ltd EOD Prices
BSE/BOM502090,SAGAR CEMENTS LTD.-$ EOD Prices
BSE/BOM502137,DECCAN CEMENTS LTD.-$ EOD Prices
BSE/BOM502150,KALYANPUR CEMENTS LTD. EOD Prices
BSE/BOM502157,MANGALAM CEMENT LTD. EOD Prices
BSE/BOM502165,OCL INDIA LTD. EOD Prices
BSE/BOM502168,NCL INDUSTRIES LTD.-$ EOD Prices
BSE/BOM502175,SAURASHTRA CEMENT LTD. EOD Prices
BSE/BOM502180,SHREE DIGVIJAY CEMENT CO.LTD.-$ EOD Prices
BSE/BOM502216,BOMBAY POTTERIES & TILES LTD. EOD Prices
BSE/BOM502219,Borosil Renewables Ltd EOD Prices
BSE/BOM502223,Excel Glasses Ltd. EOD Prices
BSE/BOM502250,Lerthai Finance Ltd EOD Prices
BSE/BOM502271,RAASI REFRACTORIES LTD.-$ EOD Prices
BSE/BOM502281,TRIVENI GLASS LTD.-$ EOD Prices
BSE/BOM502294,Nilachal Refractories Ltd. EOD Prices
BSE/BOM502330,Andhra Paper Ltd EOD Prices
BSE/BOM502352,AURANGABAD PAPER MILLS LTD. EOD Prices
BSE/BOM502355,BALKRISHNA INDUSTRIES LTD.-$ EOD Prices
BSE/BOM502405,MYSORE PAPER MILLS LTD. EOD Prices
BSE/BOM502407,NATH PULP & PAPER MILLS LTD. EOD Prices
BSE/BOM502420,ORIENT PAPER & INDUSTRIES LTD. EOD Prices
BSE/BOM502445,CITADEL REALTY AND DEVELOPERS LTD. EOD Prices
BSE/BOM502448,ROLLATAINERS LTD. EOD Prices
BSE/BOM502450,SESHASAYEE PAPER & BOARDS LTD. EOD Prices
BSE/BOM502455,Sirpur Paper Mills Ltd. EOD Prices
BSE/BOM502460,SOLID CONTAINERS LTD. EOD Prices
BSE/BOM502465,SPECIALITY PAPERS LTD. EOD Prices
BSE/BOM502473,RELSON INDIA LTD. EOD Prices
BSE/BOM502563,SHREE BHAWANI PAPER MILLS LTD. EOD Prices
BSE/BOM502587,Nath Industries Ltd EOD Prices
BSE/BOM502589,VAPI PAPER MILLS LTD. EOD Prices
BSE/BOM502742,SINTEX INDUSTRIES LTD. EOD Prices
BSE/BOM502761,Blue Blends (India) Ltd EOD Prices
BSE/BOM502820,DCM LTD. EOD Prices
BSE/BOM502850,GAEKWAR MILLS LTD. EOD Prices
BSE/BOM502865,FORBES & COMPANY LTD.-$ EOD Prices
BSE/BOM502873,H.P.COTTON TEXTILE MILLS LTD. EOD Prices
BSE/BOM502893,United Interactive Ltd. EOD Prices
BSE/BOM502901,Jamshri Realty Ltd-$ EOD Prices
BSE/BOM502933,KATARE SPINNING MILLS LTD. EOD Prices
BSE/BOM502937,KESORAM INDUSTRIES LTD. EOD Prices
BSE/BOM502958,LAKSHMI MILLS COMPANY LTD.-$ EOD Prices
BSE/BOM502986,VARDHMAN TEXTILES LTD. EOD Prices
BSE/BOM502995,MALWA COTTON SPINNING MILLS LTD. EOD Prices
BSE/BOM503015,MODERN INDIA LTD.-$ EOD Prices
BSE/BOM503031,PENINSULA LAND LTD. EOD Prices
BSE/BOM503092,PASUPATI SPG.& WVG.MILLS LTD. EOD Prices
BSE/BOM503100,The Phoenix Mills Ltd EOD Prices
BSE/BOM503101,MARATHON NEXTGEN REALTY LTD. EOD Prices
BSE/BOM503127,RAJA BAHADUR INTERNATIONAL LTD. EOD Prices
BSE/BOM503162,RELIANCE CHEMOTEX INDUSTRIES LTD.-$ EOD Prices
BSE/BOM503169,RUBY MILLS LTD. EOD Prices
BSE/BOM503205,SHREE RAM URBAN INFRASTRUCTURE LTD. EOD Prices
BSE/BOM503229,SIMPLEX REALTY LTD. EOD Prices
BSE/BOM503310,SWAN ENERGY LTD. EOD Prices
BSE/BOM503349,VICTORIA MILLS LTD. EOD Prices
BSE/BOM503622,S.v.trading & Agencies Ltd. EOD Prices
BSE/BOM503624,SVARAJ TRADING & AGENCIES LTD. EOD Prices
BSE/BOM503626,Kshitiz Investment Ltd. EOD Prices
BSE/BOM503630,Shell Infotech Ltd. EOD Prices
